Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
4273π: bioinformatics education on low cost ARM hardware.,/pubmed/23937194,"Barker D, Ferrier DE, Holland PW, Mitchell JB, Plaisier H, Ritchie MG, Smart SD.",BMC Bioinformatics. 2013 Aug 12;14:243. doi: 10.1186/1471-2105-14-243.,BMC Bioinformatics.  2013,PubMed,citation,PMID:23937194 | PMCID:PMC3751261,pubmed,23937194,create date:2013/08/14 | first author:Barker D
bioNerDS: exploring bioinformatics' database and software use through literature mining.,/pubmed/23768135,"Duck G, Nenadic G, Brass A, Robertson DL, Stevens R.",BMC Bioinformatics. 2013 Jun 15;14:194. doi: 10.1186/1471-2105-14-194.,BMC Bioinformatics.  2013,PubMed,citation,PMID:23768135 | PMCID:PMC3693927,pubmed,23768135,create date:2013/06/19 | first author:Duck G
Building the future of bioinformatics through student-facilitated conferencing.,/pubmed/24499938,"Ramdayal K, Stobbe MD, Mishra T, Michaut M.",PLoS Comput Biol. 2014 Jan 30;10(1):e1003458. doi: 10.1371/journal.pcbi.1003458. eCollection 2014 Jan.,PLoS Comput Biol.  2014,PubMed,citation,PMID:24499938 | PMCID:PMC3907293,pubmed,24499938,create date:2014/02/07 | first author:Ramdayal K
MEIGO: an open-source software suite based on metaheuristics for global optimization in systems biology and bioinformatics.,/pubmed/24885957,"Egea JA, Henriques D, Cokelaer T, Villaverde AF, MacNamara A, Danciu DP, Banga JR, Saez-Rodriguez J.",BMC Bioinformatics. 2014 May 10;15:136. doi: 10.1186/1471-2105-15-136.,BMC Bioinformatics.  2014,PubMed,citation,PMID:24885957 | PMCID:PMC4025564,pubmed,24885957,create date:2014/06/03 | first author:Egea JA
Bioinformatics and computational biology in Poland.,/pubmed/23658507,"Bujnicki JM, Tiuryn J.",PLoS Comput Biol. 2013;9(5):e1003048. doi: 10.1371/journal.pcbi.1003048. Epub 2013 May 2. No abstract available. ,PLoS Comput Biol.  2013,PubMed,citation,PMID:23658507 | PMCID:PMC3642042,pubmed,23658507,create date:2013/05/10 | first author:Bujnicki JM
Bioinformatics and biomedical informatics.,/pubmed/23818827,"Najarian K, Deriche R, Kon MA, Hirata NS.",ScientificWorldJournal. 2013 May 29;2013:591976. doi: 10.1155/2013/591976. Print 2013. No abstract available. ,ScientificWorldJournal.  2013,PubMed,citation,PMID:23818827 | PMCID:PMC3681308,pubmed,23818827,create date:2013/07/03 | first author:Najarian K
Update in research and methods in proteomics and bioinformatics.,/pubmed/24117200,"Bencharit S, Border MB, Edelmann A, Byrd WC.",Expert Rev Proteomics. 2013 Oct;10(5):413-5. doi: 10.1586/14789450.2013.842899.,Expert Rev Proteomics.  2013,PubMed,citation,PMID:24117200,pubmed,24117200,create date:2013/10/15 | first author:Bencharit S
The roots of bioinformatics in theoretical biology.,/pubmed/21483479,Hogeweg P.,PLoS Comput Biol. 2011 Mar;7(3):e1002021. doi: 10.1371/journal.pcbi.1002021. Epub 2011 Mar 31.,PLoS Comput Biol.  2011,PubMed,citation,PMID:21483479 | PMCID:PMC3068925,pubmed,21483479,create date:2011/04/13 | first author:Hogeweg P
Translational bioinformatics and computational systems medicine.,/pubmed/23762184,"Shen B, Shen HB, Tian T, Lü Q, Hu G.",Comput Math Methods Med. 2013;2013:375641. doi: 10.1155/2013/375641. Epub 2013 May 19. No abstract available. ,Comput Math Methods Med.  2013,PubMed,citation,PMID:23762184 | PMCID:PMC3671527,pubmed,23762184,create date:2013/06/14 | first author:Shen B
"International, interdisciplinary, multi-level bioinformatics training and education.",/pubmed/24030777,"Schneider MV, Jungck JR.",Brief Bioinform. 2013 Sep;14(5):527. doi: 10.1093/bib/bbt064. No abstract available. ,Brief Bioinform.  2013,PubMed,citation,PMID:24030777,pubmed,24030777,create date:2013/09/14 | first author:Schneider MV
International Society for Computational Biology Honors Dana Pe'er with Top Bioinformatics/Computational Biology Award for 2014.,/pubmed/24945496,"Fogg CN, Kovats DE.",PLoS Comput Biol. 2014 Jun 19;10(6):e1003682. doi: 10.1371/journal.pcbi.1003682. eCollection 2014 Jun. No abstract available. ,PLoS Comput Biol.  2014,PubMed,citation,PMID:24945496 | PMCID:PMC4063598,pubmed,24945496,create date:2014/06/20 | first author:Fogg CN
APBioNet-transforming bioinformatics in the Asia-Pacific region.,/pubmed/24204244,"Khan AM, Tan TW, Schönbach C, Ranganathan S.",PLoS Comput Biol. 2013 Oct;9(10):e1003317. doi: 10.1371/journal.pcbi.1003317. Epub 2013 Oct 31. No abstract available. ,PLoS Comput Biol.  2013,PubMed,citation,PMID:24204244 | PMCID:PMC3814852,pubmed,24204244,create date:2013/11/10 | first author:Khan AM
Is there room for ethics within bioinformatics education?,/pubmed/21563974,Taneri B.,J Comput Biol. 2011 Jul;18(7):907-16. doi: 10.1089/cmb.2010.0187. Epub 2011 May 12.,J Comput Biol.  2011,PubMed,citation,PMID:21563974,pubmed,21563974,create date:2011/05/14 | first author:Taneri B
Incorporating bioinformatics into biological science education in Nigeria: prospects and challenges.,/pubmed/21145989,"Ojo OO, Omabe M.",Infect Genet Evol. 2011 Jun;11(4):784-7. doi: 10.1016/j.meegid.2010.11.015. Epub 2010 Dec 9. Review.,Infect Genet Evol.  2011,PubMed,citation,PMID:21145989,pubmed,21145989,create date:2010/12/15 | first author:Ojo OO
Proceedings of the 12th Annual UT-ORNL-KBRIN Bioinformatics Summit 2013.,/pubmed/24625056,"Rouchka EC, Flight RM.",BMC Bioinformatics. 2013 Mar 22;14 Suppl 17:A1. No abstract available. ,BMC Bioinformatics.  2013,PubMed,citation,PMID:24625056 | PMCID:PMC3853103,pubmed,24625056,create date:2013/01/01 | first author:Rouchka EC
"Bioinformatics in bacterial molecular epidemiology and public health: databases, tools and the next-generation sequencing revolution.",/pubmed/23369390,"Carriço JA, Sabat AJ, Friedrich AW, Ramirez M; ESCMID Study Group for Epidemiological Markers (ESGEM)..",Euro Surveill. 2013 Jan 24;18(4):20382. Review.,Euro Surveill.  2013,PubMed,citation,PMID:23369390,pubmed,23369390,create date:2013/02/02 | first author:Carriço JA
What is bioinformatics? A proposed definition and overview of the field.,/pubmed/11552348,"Luscombe NM, Greenbaum D, Gerstein M.",Methods Inf Med. 2001;40(4):346-58. Review.,Methods Inf Med.  2001,PubMed,citation,PMID:11552348,pubmed,11552348,create date:2001/09/13 | first author:Luscombe NM
Translational bioinformatics: linking the molecular world to the clinical world.,/pubmed/22549287,Altman RB.,Clin Pharmacol Ther. 2012 Jun;91(6):994-1000. doi: 10.1038/clpt.2012.49. Review.,Clin Pharmacol Ther.  2012,PubMed,citation,PMID:22549287 | PMCID:PMC4154360,pubmed,22549287,create date:2012/05/03 | first author:Altman RB
[A review on the bioinformatics pipelines for metagenomic research].,/pubmed/23266976,"Ye DD, Fan MM, Guan Q, Chen HJ, Ma ZS.",Dongwuxue Yanjiu. 2012 Dec;33(6):574-85. doi: 10.3724/SP.J.1141.2012.06574. Review. Chinese. ,Dongwuxue Yanjiu.  2012,PubMed,citation,PMID:23266976,pubmed,23266976,create date:2012/12/26 | first author:Ye DD
Development of an undergraduate bioinformatics degree program at a liberal arts college.,/pubmed/23012579,Bagga PS.,Yale J Biol Med. 2012 Sep;85(3):309-21. Epub 2012 Sep 25.,Yale J Biol Med.  2012,PubMed,citation,PMID:23012579 | PMCID:PMC3447195,pubmed,23012579,create date:2012/09/27 | first author:Bagga PS
Focus on bioinformatics in proteomics.,/pubmed/23341066,"Wu FX, Ressom H, Dunn MJ.",Proteomics. 2013 Jan;13(2):219-20. doi: 10.1002/pmic.201370022. No abstract available. ,Proteomics.  2013,PubMed,citation,PMID:23341066,pubmed,23341066,create date:2013/01/24 | first author:Wu FX
"Bioinformatics in Italy: BITS2011, the Eighth Annual Meeting of the Italian Society of Bioinformatics.",/pubmed/22536954,"Romano P, Helmer-Citterich M.",BMC Bioinformatics. 2012 Mar 28;13 Suppl 4:I1. doi: 10.1186/1471-2105-13-S4-I1.,BMC Bioinformatics.  2012,PubMed,citation,PMID:22536954 | PMCID:PMC3314567,pubmed,22536954,create date:2012/05/02 | first author:Romano P
International Society for Computational Biology honors Goncalo Abecasis with top bioinformatics/computational biology award for 2013.,/pubmed/23661697,"Fogg CN, Kovats DE.",Bioinformatics. 2013 Jun 15;29(12):1586-7. doi: 10.1093/bioinformatics/btt251. Epub 2013 May 9. No abstract available. ,Bioinformatics.  2013,PubMed,citation,PMID:23661697,pubmed,23661697,create date:2013/05/11 | first author:Fogg CN
"Proceedings of the Second IEEE International Conference on Computational Advances in Bio and Medical Sciences (ICCABS 2012): Bioinformatics, February 23-25, 2012, Las Vegas, Nevada.",/pubmed/24795967,[No authors listed],BMC Bioinformatics. 2013;14 Suppl 18:S1-5. No abstract available. ,BMC Bioinformatics.  2013,PubMed,citation,PMID:24795967,pubmed,24795967,create date:2013/01/01
Trends and developments in bioinformatics in 2010: prospects and perspectives.,/pubmed/21938341,"Aliferis CF, Alekseyenko AV, Aphinyanaphongs Y, Brown S, Fenyo D, Fu L, Shen S, Statnikov A, Wang J.",Yearb Med Inform. 2011;6:146-55. Review.,Yearb Med Inform.  2011,PubMed,citation,PMID:21938341,pubmed,21938341,create date:2011/09/23 | first author:Aliferis CF
Bioinformatics. Introduction.,/pubmed/23189382,"Rothberg J, Merriman B, Higgs G.",Yale J Biol Med. 2012 Sep;85(3):305-8. No abstract available. ,Yale J Biol Med.  2012,PubMed,citation,PMID:23189382 | PMCID:PMC3447194,pubmed,23189382,create date:2012/11/30 | first author:Rothberg J
Guest editors' introduction to the special section on bioinformatics research and applications.,/pubmed/24567956,"Mandoiu II, Wang J, Zelikovsky A.",IEEE/ACM Trans Comput Biol Bioinform. 2013 Nov-Dec;10(6):1345-6. No abstract available. ,IEEE/ACM Trans Comput Biol Bioinform.  2013,PubMed,citation,PMID:24567956,pubmed,24567956,create date:2014/02/26 | first author:Mandoiu II
Online tools for bioinformatics analyses in nutrition sciences.,/pubmed/22983844,"Malkaram SA, Hassan YI, Zempleni J.",Adv Nutr. 2012 Sep 1;3(5):654-65. doi: 10.3945/an.112.002477. Review.,Adv Nutr.  2012,PubMed,citation,PMID:22983844 | PMCID:PMC3648747,pubmed,22983844,create date:2012/09/18 | first author:Malkaram SA
"Editorial: The application of systems biology and bioinformatics methods in proteomics, transcriptomics and metabolomics (PART II).",/pubmed/22591468,Cai YD.,Protein Pept Lett. 2013 Mar;20(3):241-2. No abstract available. ,Protein Pept Lett.  2013,PubMed,citation,PMID:22591468,pubmed,22591468,create date:2012/05/18 | first author:Cai YD
[Metabilic cardiovascular disease--application of bioinformatics].,/pubmed/23316609,Cui QH.,Sheng Li Ke Xue Jin Zhan. 2012 Oct;43(5):361-5. Review. Chinese.  No abstract available. ,Sheng Li Ke Xue Jin Zhan.  2012,PubMed,citation,PMID:23316609,pubmed,23316609,create date:2013/01/16 | first author:Cui QH
Relax with CouchDB--into the non-relational DBMS era of bioinformatics.,/pubmed/22609849,"Manyam G, Payton MA, Roth JA, Abruzzo LV, Coombes KR.",Genomics. 2012 Jul;100(1):1-7. doi: 10.1016/j.ygeno.2012.05.006. Epub 2012 May 17.,Genomics.  2012,PubMed,citation,PMID:22609849 | PMCID:PMC3383915,pubmed,22609849,create date:2012/05/23 | first author:Manyam G
Thriving in multidisciplinary research: advice for new bioinformatics students.,/pubmed/23012580,Auerbach RK.,Yale J Biol Med. 2012 Sep;85(3):323-9. Epub 2012 Sep 25.,Yale J Biol Med.  2012,PubMed,citation,PMID:23012580 | PMCID:PMC3447196,pubmed,23012580,create date:2012/09/27 | first author:Auerbach RK
Protein bioinformatics databases and resources.,/pubmed/21082424,"Chen C, Huang H, Wu CH.",Methods Mol Biol. 2011;694:3-24. doi: 10.1007/978-1-60761-977-2_1. Review.,Methods Mol Biol.  2011,PubMed,citation,PMID:21082424,pubmed,21082424,create date:2010/11/18 | first author:Chen C
Cellular automata and its applications in protein bioinformatics.,/pubmed/21787298,"Xiao X, Wang P, Chou KC.",Curr Protein Pept Sci. 2011 Sep;12(6):508-19. Review.,Curr Protein Pept Sci.  2011,PubMed,citation,PMID:21787298,pubmed,21787298,create date:2011/07/27 | first author:Xiao X
Cancer bioinformatics: a new approach to systems clinical medicine.,/pubmed/22549015,"Wu D, Rice CM, Wang X.",BMC Bioinformatics. 2012 May 1;13:71. doi: 10.1186/1471-2105-13-71. No abstract available. ,BMC Bioinformatics.  2012,PubMed,citation,PMID:22549015 | PMCID:PMC3424139,pubmed,22549015,create date:2012/05/03 | first author:Wu D
Bioinformatics: Curation generation.,/pubmed/21348148,Sanderson K.,Nature. 2011 Feb 10;470(7333):295-6. No abstract available. ,Nature.  2011,PubMed,citation,PMID:21348148,pubmed,21348148,create date:2011/02/25 | first author:Sanderson K
"Proceedings of the 2013 MidSouth Computational Biology and Bioinformatics Society (MCBIOS) Conference, April 5-6, 2013, Columbia, Missouri.",/pubmed/24624436,[No authors listed],BMC Bioinformatics. 2013;14 Suppl 14:S1-17. No abstract available. ,BMC Bioinformatics.  2013,PubMed,citation,PMID:24624436,pubmed,24624436,create date:2013/01/01
Guest Editorial: Application and development of bioinformatics.,/pubmed/23120755,Chen YP.,IEEE/ACM Trans Comput Biol Bioinform. 2012 Sep-Oct;9(5):1265. No abstract available. ,IEEE/ACM Trans Comput Biol Bioinform.  2012,PubMed,citation,PMID:23120755,pubmed,23120755,create date:2012/11/03 | first author:Chen YP
Bpipe: a tool for running and managing bioinformatics pipelines.,/pubmed/22500002,"Sadedin SP, Pope B, Oshlack A.",Bioinformatics. 2012 Jun 1;28(11):1525-6. doi: 10.1093/bioinformatics/bts167. Epub 2012 Apr 12.,Bioinformatics.  2012,PubMed,citation,PMID:22500002,pubmed,22500002,create date:2012/04/14 | first author:Sadedin SP
Advances in omics and bioinformatics tools for systems analyses of plant functions.,/pubmed/22156726,"Mochida K, Shinozaki K.",Plant Cell Physiol. 2011 Dec;52(12):2017-38. doi: 10.1093/pcp/pcr153. Review.,Plant Cell Physiol.  2011,PubMed,citation,PMID:22156726 | PMCID:PMC3233218,pubmed,22156726,create date:2011/12/14 | first author:Mochida K
Bioconductor: open software development for computational biology and bioinformatics.,/pubmed/15461798,"Gentleman RC, Carey VJ, Bates DM, Bolstad B, Dettling M, Dudoit S, Ellis B, Gautier L, Ge Y, Gentry J, Hornik K, Hothorn T, Huber W, Iacus S, Irizarry R, Leisch F, Li C, Maechler M, Rossini AJ, Sawitzki G, Smith C, Smyth G, et al.",Genome Biol. 2004;5(10):R80. Epub 2004 Sep 15.,Genome Biol.  2004,PubMed,citation,PMID:15461798 | PMCID:PMC545600,pubmed,15461798,create date:2004/10/06 | first author:Gentleman RC
"Genomics, Proteomics & Bioinformatics (GPB) has a new start--open access.",/pubmed/22449395,Yu J.,Genomics Proteomics Bioinformatics. 2012 Feb;10(1):1-3. doi: 10.1016/S1672-0229(11)60034-X. No abstract available. ,Genomics Proteomics Bioinformatics.  2012,PubMed,citation,PMID:22449395 | PMCID:PMC5054488,pubmed,22449395,create date:2012/03/28 | first author:Yu J
Proceedings of the 2012 MidSouth Computational Biology and Bioinformatics Society (MCBIOS) conference. Introduction.,/pubmed/23046182,"Wren JD, Dozmorov MG, Burian D, Kaundal R, Bridges S, Kupfer DM.",BMC Bioinformatics. 2012;13 Suppl 15:S1. doi: 10.1186/1471-2105-13-S15-S1. Epub 2012 Sep 11. No abstract available. ,BMC Bioinformatics.  2012,PubMed,citation,PMID:23046182 | PMCID:PMC3439718,pubmed,23046182,create date:2012/10/17 | first author:Wren JD
"Advancing standards for bioinformatics activities: persistence, reproducibility, disambiguation and Minimum Information About a Bioinformatics investigation (MIABi).",/pubmed/21143811,"Tan TW, Tong JC, Khan AM, de Silva M, Lim KS, Ranganathan S.",BMC Genomics. 2010 Dec 2;11 Suppl 4:S27. doi: 10.1186/1471-2164-11-S4-S27.,BMC Genomics.  2010,PubMed,citation,PMID:21143811 | PMCID:PMC3005918,pubmed,21143811,create date:2010/12/22 | first author:Tan TW
"A decade after the genome, bioinformatics comes of age.",/pubmed/21906036,Webb S.,Biotechniques. 2011 Sep;51(3):157-61. doi: 10.2144/000113731. No abstract available. ,Biotechniques.  2011,PubMed,citation,PMID:21906036,pubmed,21906036,create date:2011/09/13 | first author:Webb S
On the organization of bioinformatics core services in biology-based research institutes.,/pubmed/21402560,"Kallioniemi O, Wessels L, Valencia A.",Bioinformatics. 2011 May 15;27(10):1345. doi: 10.1093/bioinformatics/btr125. Epub 2011 Mar 13. No abstract available. ,Bioinformatics.  2011,PubMed,citation,PMID:21402560,pubmed,21402560,create date:2011/03/16 | first author:Kallioniemi O
Editorial: current progress in Bioinformatics 2012.,/pubmed/22833494,Altman RB.,Brief Bioinform. 2012 Jul;13(4):393-4. doi: 10.1093/bib/bbs042. No abstract available. ,Brief Bioinform.  2012,PubMed,citation,PMID:22833494,pubmed,22833494,create date:2012/07/27 | first author:Altman RB
Bioinformatics training: selecting an appropriate learning content management system--an example from the European Bioinformatics Institute.,/pubmed/20601435,"Wright VA, Vaughan BW, Laurent T, Lopez R, Brooksbank C, Schneider MV.",Brief Bioinform. 2010 Nov;11(6):552-62. doi: 10.1093/bib/bbq023. Epub 2010 Jul 2. Review.,Brief Bioinform.  2010,PubMed,citation,PMID:20601435,pubmed,20601435,create date:2010/07/06 | first author:Wright VA
Exploration and Exploitation of Data in Bioinformatics.,/pubmed/22586749,Loganantharaj R.,Int J Bioinform Res Appl. 2012;8(1-2):1-3. No abstract available. ,Int J Bioinform Res Appl.  2012,PubMed,citation,PMID:22586749,pubmed,22586749,create date:2012/05/17 | first author:Loganantharaj R
Editorial: Bioinformatics education in the 21st century.,/pubmed/21087950,Neil Sarkar I.,Brief Bioinform. 2010 Nov;11(6):535-6. doi: 10.1093/bib/bbq071. No abstract available. ,Brief Bioinform.  2010,PubMed,citation,PMID:21087950,pubmed,21087950,create date:2010/11/23 | first author:Neil Sarkar I
Towards a career in bioinformatics.,/pubmed/19958508,Ranganathan S.,BMC Bioinformatics. 2009 Dec 3;10 Suppl 15:S1. doi: 10.1186/1471-2105-10-S15-S1.,BMC Bioinformatics.  2009,PubMed,citation,PMID:19958508 | PMCID:PMC2788349,pubmed,19958508,create date:2010/01/09 | first author:Ranganathan S
The 20th anniversary of EMBnet: 20 years of bioinformatics for the Life Sciences community.,/pubmed/19534734,"D'Elia D, Gisel A, Eriksson NE, Kossida S, Mattila K, Klucar L, Bongcam-Rudloff E.",BMC Bioinformatics. 2009 Jun 16;10 Suppl 6:S1. doi: 10.1186/1471-2105-10-S6-S1.,BMC Bioinformatics.  2009,PubMed,citation,PMID:19534734 | PMCID:PMC2697632,pubmed,19534734,create date:2009/06/26 | first author:D'Elia D
Of genomics and bioinformatics.,/pubmed/20676063,Slikker W Jr.,Pharmacogenomics J. 2010 Aug;10(4):245-6. doi: 10.1038/tpj.2010.59. No abstract available. ,Pharmacogenomics J.  2010,PubMed,citation,PMID:20676063,pubmed,20676063,create date:2010/08/03 | first author:Slikker W Jr
Plant protein-coding gene families: emerging bioinformatics approaches.,/pubmed/21757395,Martinez M.,Trends Plant Sci. 2011 Oct;16(10):558-67. doi: 10.1016/j.tplants.2011.06.003. Epub 2011 Jul 13. Review.,Trends Plant Sci.  2011,PubMed,citation,PMID:21757395,pubmed,21757395,create date:2011/07/16 | first author:Martinez M
Guest editorial: bioinformatics and computational systems biology.,/pubmed/22950128,"Chen L, Ng MK.",IEEE/ACM Trans Comput Biol Bioinform. 2012 Jul-Aug;9(4):945-6. No abstract available. ,IEEE/ACM Trans Comput Biol Bioinform.  2012,PubMed,citation,PMID:22950128,pubmed,22950128,create date:2012/09/06 | first author:Chen L
[Bioinformatics in Colombia: state of the art and perspectives].,/pubmed/20890564,"Benítez-Páez A, Cárdenas-Brito S.",Biomedica. 2010 Apr-Jun;30(2):170-7. Spanish. ,Biomedica.  2010,PubMed,citation,PMID:20890564,pubmed,20890564,create date:2010/10/05 | first author:Benítez-Páez A
Building the next generation of quantitative biologists.,/pubmed/24297567,"Pattin KA, Greene AC, Altman RB, Hunter LE, Ross DA, Foster JA, Moore JH.",Pac Symp Biocomput. 2014:417-21.,Pac Symp Biocomput.  2014,PubMed,citation,PMID:24297567 | PMCID:PMC3935419,pubmed,24297567,create date:2013/12/04 | first author:Pattin KA
Workshops: a great way to enhance and supplement a degree.,/pubmed/24586140,"Fatumo S, Shome S, Macintyre G.",PLoS Comput Biol. 2014 Feb 27;10(2):e1003497. doi: 10.1371/journal.pcbi.1003497. eCollection 2014 Feb.,PLoS Comput Biol.  2014,PubMed,citation,PMID:24586140 | PMCID:PMC3937119,pubmed,24586140,create date:2014/03/04 | first author:Fatumo S
Introduction: Advanced intelligent computing theories and their applications in bioinformatics.,/pubmed/22594994,"Gromiha MM, Huang DS.",BMC Bioinformatics. 2012 May 8;13 Suppl 7:I1. doi: 10.1186/1471-2105-13-S7-I1. No abstract available. ,BMC Bioinformatics.  2012,PubMed,citation,PMID:22594994 | PMCID:PMC3348015,pubmed,22594994,create date:2012/05/25 | first author:Gromiha MM
How bioinformatics techniques can be used for various aspects of biological research.,/pubmed/21805820,Kim S.,Int J Data Min Bioinform. 2011;5(3):231-2. No abstract available. ,Int J Data Min Bioinform.  2011,PubMed,citation,PMID:21805820,pubmed,21805820,create date:2011/08/03 | first author:Kim S
Bioinformatics challenges and solutions in proteomics as quantitative methods mature.,/pubmed/22804490,Jones AR.,OMICS. 2012 Sep;16(9):429-30. doi: 10.1089/omi.2012.0051. Epub 2012 Jul 17. No abstract available. ,OMICS.  2012,PubMed,citation,PMID:22804490 | PMCID:PMC3698678,pubmed,22804490,create date:2012/07/19 | first author:Jones AR
Introduction to bioinformatics.,/pubmed/16810733,Akalin PK.,Mol Nutr Food Res. 2006 Jul;50(7):610-9. Review.,Mol Nutr Food Res.  2006,PubMed,citation,PMID:16810733,pubmed,16810733,create date:2006/07/01 | first author:Akalin PK
Clinical bioinformatics.,/pubmed/16013339,Chang PL.,Chang Gung Med J. 2005 Apr;28(4):201-11. Review.,Chang Gung Med J.  2005,PubMed,citation,PMID:16013339,pubmed,16013339,create date:2005/07/15 | first author:Chang PL
Exploring the biomedical and health informatics educational programs in europe.,/pubmed/25000017,"Manifava E, Kolokathi A, Mantas J.",Stud Health Technol Inform. 2014;202:67-70.,Stud Health Technol Inform.  2014,PubMed,citation,PMID:25000017,pubmed,25000017,create date:2014/07/08 | first author:Manifava E
The pitfalls of proteomics experiments without the correct use of bioinformatics tools.,/pubmed/16991202,"Biron DG, Brun C, Lefevre T, Lebarbenchon C, Loxdale HD, Chevenet F, Brizard JP, Thomas F.",Proteomics. 2006 Oct;6(20):5577-96. Review.,Proteomics.  2006,PubMed,citation,PMID:16991202,pubmed,16991202,create date:2006/09/23 | first author:Biron DG
"Extending Asia Pacific bioinformatics into new realms in the ""-omics"" era.",/pubmed/19958472,"Ranganathan S, Eisenhaber F, Tong JC, Tan TW.",BMC Genomics. 2009 Dec 3;10 Suppl 3:S1. doi: 10.1186/1471-2164-10-S3-S1.,BMC Genomics.  2009,PubMed,citation,PMID:19958472 | PMCID:PMC2788361,pubmed,19958472,create date:2010/01/09 | first author:Ranganathan S
Bioinformatics for transporter pharmacogenomics and systems biology: data integration and modeling with UML.,/pubmed/20419428,Yan Q.,Methods Mol Biol. 2010;637:23-45. doi: 10.1007/978-1-60761-700-6_2.,Methods Mol Biol.  2010,PubMed,citation,PMID:20419428,pubmed,20419428,create date:2010/04/27 | first author:Yan Q
"In the spotlight: bioinformatics, computational biology and systems biology.",/pubmed/22273782,Wang MD.,IEEE Rev Biomed Eng. 2011;4:3-5. doi: 10.1109/RBME.2011.2177935. No abstract available. ,IEEE Rev Biomed Eng.  2011,PubMed,citation,PMID:22273782 | PMCID:PMC5003032,pubmed,22273782,create date:2012/01/26 | first author:Wang MD
